,country,year,month,coal_perc,gas_perc,nuclear_perc,hydro_perc,wind_perc,solar_perc,renewables_perc,season,avg_temp_c,max_temp_c,min_temp_c,avg_sealevel_pressure_hpa,avg_daily_precipitation_mm,female_perc,male_perc,population_density,population_below_14_perc,population_above_65_perc,population_working_age_perc
2774,Portugal,2016,3,0.07612373065843007,0.07583440064610208,0.0,0.1942641860933193,0.1176038248120915,0.007403513267931294,0.3392421211449238,Spring,12.151381215469614,24.1,-1.4,1019.9270270270271,3.2895104895104894,52,48,112,13,21,66
2775,Portugal,2016,4,0.053817955912727346,0.05361344710668496,0.0,0.2508423132279816,0.1142198493399053,0.007507985040398402,0.3863473955882664,Spring,13.853888888888887,27.4,-0.9,1015.0977777777778,4.559183673469388,52,48,112,13,21,66
2776,Portugal,2016,5,0.06585831576682316,0.06560806114071263,0.0,0.23794144021177321,0.09785511316590308,0.008320734886646895,0.36092055439062637,Spring,16.442473118279572,32.7,1.8,1016.7541666666666,3.4941558441558445,52,48,112,13,21,66
2777,Portugal,2016,6,0.11427491394320842,0.11384067267233212,0.0,0.12240228980761551,0.09571606102058511,0.011332326876416068,0.2586744300878641,Summer,20.301685393258428,36.8,8.0,1021.4178571428572,0.6046511627906976,52,48,112,13,21,66
2778,Portugal,2016,7,0.14207824516948395,0.14153823859922923,0.0,0.07247160797494284,0.08102594118164552,0.01058716959068865,0.19995960960565784,Summer,23.235260115606934,41.7,9.8,1022.0854545454545,0.13857142857142857,52,48,112,13,21,66
2779,Portugal,2016,8,0.14053814047722718,0.14000399427909224,0.0,0.0669439242105417,0.09025899752189252,0.010508671120105222,0.2032119031665566,Summer,23.48260869565217,40.9,9.9,1021.4372549019608,0.6661157024793388,52,48,112,13,21,66
2780,Portugal,2016,9,0.14398867692183043,0.14344154599604195,0.0,0.07770172865850873,0.07249638888084645,0.009663190825726252,0.19592505253062364,Autumn,21.32111111111111,42.0,7.5,1022.0436363636364,1.425735294117647,52,48,112,13,21,66
2781,Portugal,2016,10,0.13531849493075454,0.13480414825392656,0.0,0.08832635360229962,0.08390949255752268,0.007395539877879371,0.21423481307330752,Autumn,17.76989247311828,28.9,4.6,1016.4295081967213,2.7337579617834393,52,48,112,13,21,66
2782,Portugal,2016,11,0.12574844439030458,0.12527045197925404,0.0,0.07548479893552726,0.12157571952642207,0.00533621107461877,0.23444491816813653,Autumn,13.042222222222222,25.0,-0.4,1020.1053571428572,3.6275,52,48,112,13,21,66
2783,Portugal,2016,12,0.1306400158361888,0.1301434960929488,0.0,0.07796641246060941,0.1076226159925841,0.005194138822311585,0.22411474919892865,Winter,11.4292817679558,20.4,-5.9,1024.7833333333333,2.1444444444444444,52,48,112,13,21,66
2784,Portugal,2017,1,0.12174637274544653,0.13605805788578546,0.0,0.0917821542689891,0.10802308214666219,0.005310431728718136,0.23229356210783514,Winter,10.054237288135592,19.0,-7.9,1022.1321428571429,2.022222222222222,52,48,112,13,21,66
