;country;year;month;season;avg_sealevel_pressure_hpa;avg_daily_precipitation_mm;female_perc;male_perc;population_density;coal;nuclear;hydro;solar;wind;renewables;avg_temp;min_temp;max_temp;population_below_14;population_above_65;population_working_age
121;Australia;2017;2;Summer;low;medium;50;50;very low;very high;very low or none;very low or none;medium;medium;low;high;medium;very high;high;low;low
122;Australia;2017;3;Autumn;low;medium;50;50;very low;very high;very low or none;very low or none;medium;medium;very low or none;high;high;high;high;low;low
123;Australia;2017;4;Autumn;medium;medium;50;50;very low;very high;very low or none;very low or none;medium;medium;very low or none;medium;medium;high;high;low;low
124;Australia;2017;5;Autumn;medium;low;50;50;very low;very high;very low or none;low;medium;medium;low;medium;medium;high;high;low;low
125;Australia;2017;6;Winter;high;low;50;50;very low;very high;very low or none;low;medium;low;very low or none;medium;low;high;high;low;low
126;Australia;2017;7;Winter;medium;medium;50;50;very low;high;very low or none;low;medium;medium;low;medium;low;high;high;low;low
127;Australia;2017;8;Winter;medium;medium;50;50;very low;high;very low or none;low;medium;medium;low;medium;low;high;high;low;low
128;Australia;2017;9;Spring;low;low;50;50;very low;high;very low or none;low;high;medium;low;medium;low;high;high;low;low
129;Australia;2017;10;Spring;low;medium;50;50;very low;high;very low or none;low;high;medium;low;high;medium;high;high;low;low
130;Australia;2017;11;Spring;medium;medium;50;50;very low;high;very low or none;very low or none;high;medium;low;high;medium;high;high;low;low
131;Australia;2017;12;Summer;very low;medium;50;50;very low;very high;very low or none;very low or none;high;medium;low;high;high;very high;high;low;low
132;Austria;2010;1;Winter;high;low;51;49;medium;low;very low or none;high;very low or none;low;high;very low;low;very low;low;medium;medium
133;Austria;2010;2;Winter;medium;low;51;49;medium;low;very low or none;high;very low or none;low;high;low;very low;low;low;medium;medium
134;Austria;2010;3;Spring;low;low;51;49;medium;very low or none;very low or none;high;very low or none;medium;high;low;low;medium;low;medium;medium
135;Austria;2010;4;Spring;low;low;51;49;medium;very low or none;very low or none;high;very low or none;low;very high;medium;medium;medium;low;medium;medium
136;Austria;2010;5;Spring;low;medium;51;49;medium;very low or none;very low or none;high;very low or none;low;very high;medium;medium;medium;low;medium;medium
137;Austria;2010;6;Summer;low;high;51;49;medium;very low or none;very low or none;high;very low or none;low;very high;medium;medium;high;low;medium;medium
138;Austria;2010;7;Summer;medium;high;51;49;medium;very low or none;very low or none;high;very low or none;low;very high;high;high;high;low;medium;medium
139;Austria;2010;8;Summer;medium;high;51;49;medium;very low or none;very low or none;high;very low or none;low;very high;medium;high;medium;low;medium;medium
140;Austria;2010;9;Autumn;medium;medium;51;49;medium;low;very low or none;high;very low or none;low;very high;medium;medium;medium;low;medium;medium
141;Austria;2010;10;Autumn;high;low;51;49;medium;low;very low or none;high;very low or none;low;high;low;medium;medium;low;medium;medium
142;Austria;2010;11;Autumn;medium;medium;51;49;medium;low;very low or none;high;very low or none;low;high;low;low;low;low;medium;medium
143;Austria;2010;12;Winter;high;medium;51;49;medium;low;very low or none;high;very low or none;low;high;very low;very low;very low;low;medium;medium
144;Austria;2011;1;Winter;high;low;51;49;medium;low;very low or none;high;very low or none;low;high;very low;low;very low;low;medium;medium
145;Austria;2011;2;Winter;medium;low;51;49;medium;low;very low or none;high;very low or none;low;high;low;low;low;low;medium;medium
146;Austria;2011;3;Spring;low;low;51;49;medium;low;very low or none;high;very low or none;low;high;low;low;low;low;medium;medium
147;Austria;2011;4;Spring;low;low;51;49;medium;low;very low or none;high;low;low;very high;medium;medium;medium;low;medium;medium
148;Austria;2011;5;Spring;low;medium;51;49;medium;very low or none;very low or none;high;very low or none;low;very high;medium;medium;medium;low;medium;medium
149;Austria;2011;6;Summer;low;medium;51;49;medium;very low or none;very low or none;high;very low or none;low;very high;medium;high;medium;low;medium;medium
150;Austria;2011;7;Summer;medium;medium;51;49;medium;very low or none;very low or none;high;very low or none;low;very high;medium;high;high;low;medium;medium
151;Austria;2011;8;Summer;medium;medium;51;49;medium;very low or none;very low or none;high;very low or none;low;very high;medium;high;high;low;medium;medium
152;Austria;2011;9;Autumn;medium;medium;51;49;medium;low;very low or none;high;very low or none;low;very high;medium;medium;medium;low;medium;medium
153;Austria;2011;10;Autumn;high;medium;51;49;medium;low;very low or none;high;very low or none;low;very high;low;medium;medium;low;medium;medium
154;Austria;2011;11;Autumn;medium;low;51;49;medium;low;very low or none;high;very low or none;low;high;low;medium;low;low;medium;medium
155;Austria;2011;12;Winter;high;medium;51;49;medium;low;very low or none;high;very low or none;low;high;low;low;low;low;medium;medium
156;Austria;2012;1;Winter;high;medium;51;49;medium;very low or none;very low or none;high;very low or none;medium;very high;low;low;very low;low;medium;medium
157;Austria;2012;2;Winter;medium;low;51;49;medium;low;very low or none;high;very low or none;medium;high;very low;very low;low;low;medium;medium
158;Austria;2012;3;Spring;low;low;51;49;medium;very low or none;very low or none;high;low;low;very high;low;low;medium;low;medium;medium
159;Austria;2012;4;Spring;very low;medium;51;49;medium;very low or none;very low or none;high;low;low;very high;medium;medium;medium;low;medium;medium
160;Austria;2012;5;Spring;medium;medium;51;49;medium;very low or none;very low or none;high;low;low;very high;medium;medium;medium;low;medium;medium
161;Austria;2012;6;Summer;low;high;51;49;medium;very low or none;very low or none;high;low;low;very high;medium;medium;high;low;medium;medium
162;Austria;2012;7;Summer;medium;high;51;49;medium;very low or none;very low or none;high;low;low;very high;medium;high;high;low;medium;medium
163;Austria;2012;8;Summer;medium;medium;51;49;medium;very low or none;very low or none;high;low;very low or none;very high;high;high;high;low;medium;medium
164;Austria;2012;9;Autumn;medium;medium;51;49;medium;low;very low or none;high;low;low;very high;medium;medium;medium;low;medium;medium
165;Austria;2012;10;Autumn;high;medium;51;49;medium;low;very low or none;high;very low or none;low;very high;low;medium;medium;low;medium;medium
166;Austria;2012;11;Autumn;medium;medium;51;49;medium;low;very low or none;high;very low or none;low;very high;low;low;low;low;medium;medium
167;Austria;2012;12;Winter;high;medium;51;49;medium;low;very low or none;high;very low or none;low;very high;very low;very low;low;low;medium;medium
168;Austria;2013;1;Winter;high;medium;51;49;medium;low;very low or none;high;very low or none;medium;very high;very low;low;very low;low;medium;medium
169;Austria;2013;2;Winter;medium;medium;51;49;medium;low;very low or none;high;low;medium;very high;very low;very low;very low;low;medium;medium
170;Austria;2013;3;Spring;low;medium;51;49;medium;low;very low or none;high;low;medium;very high;low;low;low;low;medium;medium
171;Austria;2013;4;Spring;low;low;51;49;medium;very low or none;very low or none;high;low;low;very high;medium;medium;medium;low;medium;medium
172;Austria;2013;5;Spring;low;high;51;49;medium;very low or none;very low or none;high;low;medium;very high;medium;medium;medium;low;medium;medium
173;Austria;2013;6;Summer;low;high;51;49;medium;very low or none;very low or none;high;low;medium;very high;medium;medium;high;low;medium;medium
174;Austria;2013;7;Summer;medium;low;51;49;medium;very low or none;very low or none;high;low;low;very high;high;high;high;low;medium;medium
175;Austria;2013;8;Summer;medium;medium;51;49;medium;very low or none;very low or none;high;low;low;very high;medium;high;high;low;medium;medium
176;Austria;2013;9;Autumn;medium;medium;51;49;medium;low;very low or none;high;low;medium;very high;medium;medium;medium;low;medium;medium
177;Austria;2013;10;Autumn;high;medium;51;49;medium;low;very low or none;high;low;medium;very high;medium;medium;medium;low;medium;medium
178;Austria;2013;11;Autumn;medium;medium;51;49;medium;very low or none;very low or none;high;very low or none;medium;very high;low;low;low;low;medium;medium
179;Austria;2013;12;Winter;high;low;51;49;medium;low;very low or none;high;very low or none;medium;very high;low;low;low;low;medium;medium
180;Austria;2014;1;Winter;high;low;51;49;medium;low;very low or none;high;low;medium;very high;low;low;low;low;medium;medium
181;Austria;2014;2;Winter;medium;medium;51;49;medium;very low or none;very low or none;high;low;medium;very high;low;medium;low;low;medium;medium
182;Austria;2014;3;Spring;low;low;51;49;medium;very low or none;very low or none;high;low;medium;very high;low;medium;medium;low;medium;medium
183;Austria;2014;4;Spring;low;medium;51;49;medium;very low or none;very low or none;high;low;medium;very high;medium;medium;medium;low;medium;medium
184;Austria;2014;5;Spring;low;high;51;49;medium;very low or none;very low or none;high;low;medium;very high;medium;medium;medium;low;medium;medium
185;Austria;2014;6;Summer;low;medium;51;49;medium;very low or none;very low or none;high;low;low;very high;medium;high;high;low;medium;medium
186;Austria;2014;7;Summer;medium;high;51;49;medium;very low or none;very low or none;high;low;medium;very high;medium;high;high;low;medium;medium
187;Austria;2014;8;Summer;medium;medium;51;49;medium;very low or none;very low or none;high;low;medium;very high;medium;high;medium;low;medium;medium
188;Austria;2014;9;Autumn;medium;medium;51;49;medium;very low or none;very low or none;high;low;medium;very high;medium;medium;medium;low;medium;medium
189;Austria;2014;10;Autumn;high;medium;51;49;medium;low;very low or none;high;low;medium;very high;medium;medium;medium;low;medium;medium
190;Austria;2014;11;Autumn;medium;medium;51;49;medium;low;very low or none;high;low;medium;very high;low;medium;low;low;medium;medium
191;Austria;2014;12;Winter;high;medium;51;49;medium;very low or none;very low or none;high;low;medium;very high;low;very low;very low;low;medium;medium
192;Austria;2015;1;Winter;high;medium;51;49;medium;very low or none;very low or none;high;low;medium;very high;low;low;low;low;medium;medium
193;Austria;2015;2;Winter;medium;low;51;49;medium;low;very low or none;high;low;medium;very high;low;low;very low;low;medium;medium
194;Austria;2015;3;Spring;low;low;51;49;medium;low;very low or none;high;low;medium;very high;low;medium;low;low;medium;medium
195;Austria;2015;4;Spring;low;low;51;49;medium;very low or none;very low or none;high;low;medium;very high;medium;medium;medium;low;medium;medium
196;Austria;2015;5;Spring;low;high;51;49;medium;very low or none;very low or none;high;low;medium;very high;medium;medium;medium;low;medium;medium
